,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,4_13,4_14,4_15,4_16,4_17,4_18,4_19,4_20,4_21,4_22,4_23,4_24,4_25,4_26,4_27,4_28,4_29,4_30,4_31,4_32,4_33,4_34,4_35,4_36,4_37,4_38,4_39,4_40,4_41,4_42,4_43,4_44,4_45,4_46,4_47,4_48,4_49,4_50,4_51,4_52,4_53,4_54,4_55,4_56,4_57,4_58,4_59,4_60,4_61,4_62,4_63,4_64,4_65,4_66,4_67,4_68,4_69,4_70,4_71,4_72,4_73,4_74,4_75,4_76,4_77,4_78,4_79,4_80,4_81,4_82,4_83,4_84,4_85,4_86,4_87,4_88,4_89,4_90,4_91,4_92,4_93,4_94,4_95,4_96,4_97,4_98,4_99
49_51,-0.3553316934272407,0.0,-0.5671881489055514,-0.5481543693443296,0.0,0.32113671237794705,-0.2914071550488354,0.0,0.0,0.0,0.0,0.0,0.0227437426590302,-0.6,0.0,0.3269992560457076,0.0,-0.1684753658491147,0.0,0.0,1.5122745753513416,0.0,0.0,0.6096238044845556,1.7160085651080463,0.0,0.35977612469367776,0.0,0.0034394041611182,0.3472239912684677,0.09581146881770097,0.1263334640624999,0.0,2.4638115599421657,0.47598575094570894,0.0328118510944485,0.3269992560457076,-0.2909096603401299,-0.4736274965206952,0.0,0.3557092513446385,0.5469955507983291,0.0,0.3931385284354605,0.0,0.0,-0.3255610878283189,0.5563565968244402,0.0,-0.3590811119451677,0.0,1.7047410929039433,0.9554573159430529,0.845097121837037,0.0,-0.2625554241058235,-0.3322474167467897,0.3926181945944018,0.2276503592671455,0.5534507309847234,1.4147834377189887,0.0,0.0,0.4882884136805865,0.0,0.4814833668610346,0.2158528950157168,0.0,0.7018259990530153,0.5196061810091881,0.1439615348185962,0.1053225068352663,0.0,-0.032128459653884,0.2356089983030989,0.0,0.0,0.1282499999999999,0.0,0.2081689175353518,0.0532937951021959,1.1303474554621966,0.6861488880175532,1.5329097036530375,0.0753121796966474,0.0,0.0,0.5265680298178079,0.8422698565392959,0.0,0.5317853079132143,0.3557092513446385,1.2583972305739433,0.0,0.0,1.8941183330645837,0.0,0.0,0.27669726802634237,0.0
51_54,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7805376659459743,0.7401747233912959,0.0,0.7372192434746324,0.8631543758202852,2.019136567755583,0.986181516833295,0.2512492656503906,2.043737411805589,0.0,0.9651867355579344,2.3034330560974947,0.0,0.0,1.8903820067869779,1.71173904614224,0.0,3.1735135056477572,1.6465092967432728,0.0,1.940642612807069,1.7942811467618245,0.0,0.856680718001633,0.0,2.8542496645162183,3.382079335550156,0.0,1.00916962294985,0.718015689358618,0.0,1.90421184894084,2.5203924618733646,0.0,0.0,0.0,0.0,1.1623186685997189,12.728006767755895,0.0,2.6127236168904546,1.8918938059178751,0.0,0.3641584347901839,1.61202467875017,0.0,2.028231261164612,0.0,0.0,0.654724296420735,3.668640151996133,0.0,0.0,0.6374992594502144,1.8294150066529908,0.0,1.1715094628909282,0.0,1.7026684784097623,0.0,3.5019383007661675,1.9534764843882004,0.9798290560137396,0.0,2.9587925938880346,0.6569882809220364,0.6696793560617679,1.336681121783158,1.496406835033781,0.0,0.9558636725781448,0.0,2.9785534975164216,0.6423166342067652,0.0,1.822004026920245,1.266508274953076,0.0,0.0,0.0,0.0,1.4813900581052786,1.0474003994069478,3.2241956254868107,1.6164696699531649,0.0,0.0,1.6465092967432728,1.86362181785569,0.0,0.0,0.0
50_51,0.0,2.833733331628488,0.0,1.8347118686745205,0.4447693366164622,1.369026990871824,1.0131143379861849,1.1172267512657705,0.9793891589127136,2.3461186268142367,-0.2262480401547105,1.2093196428843225,4.379766023575435,1.4115744584700538,3.7821993977861403,0.0,3.513904144720457,3.001924494969032,2.02634239645908,4.17472723186133,0.1621445673916511,0.4313493939971116,2.8510863062167133,1.2061290463202707,1.3248126046235196,0.5812630881404152,0.0,1.8639854225163943,0.0,0.0,2.835457215299236,0.9456800471846458,1.3248126046235196,1.081660004394183,-0.3279637876992187,3.245507362774421,-0.0653201719275313,1.203599250294643,0.0,1.265445194412986,4.178889511019304,0.0,2.5790171594183025,1.9855590911087309,0.0,2.277442685320226,0.2703844492992168,0.0,1.7568284781835668,1.55401729055822,0.1025910458369506,1.423898151618248,1.7988575950311434,2.3905117372814755,0.0,0.264346312497364,-0.2768587377538491,3.3280935842627777,0.0988011578959614,0.9385874468307608,1.5368117413317124,1.997973695488342,1.1765473329468747,0.0,1.2463076919961733,1.2463076919961733,1.2741724656596984,1.9300154388973394,2.676982555817858,1.196896460459288,0.0,0.2488011578959614,1.1251146815065018,0.0,4.559565755539115,2.749860511919663,0.0,0.9574440395770074,1.331558711755639,2.8034080811256263,1.322003443633759,0.0,0.9134181310594248,1.1225713470258036,1.3245321605778118,0.0,1.3575990927541997,0.0,0.0,14.649606045097029,2.95666522262498,4.738869407771345,3.7948495510788454,1.0528114306721836,2.9404873401458,1.7937396852381131,2.1192382276913895,3.2782490316524138,0.0,0.0
61_61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3352923972306354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1207539920793265,0.0,0.0,0.0,0.0,0.0,0.4482268434012713,0.1367546807710217,1.6368413360980474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1948651420757617,0.0,0.0,0.0,7.0499730259438635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380058774757022,0.0,0.0,1.0046211561970004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48_46,3.259181982562524,3.637977581810605,1.0422493407587037,3.563454274517148,4.3701590820397165,0.0,7.103007176939679,0.0,4.212365086966569,0.0,2.861501206428476,0.0,3.644849865752777,0.0,1.0189741704689452,6.6583290542734215,2.916880634400508,8.28424454850348,3.325481594427209,6.375858102717724,0.0,0.8563335946636145,7.539050450439582,0.0,0.0,0.0,7.9104033789208765,0.7201875658832926,4.433172808834252,4.624818825386443,8.398612656871867,0.0,4.7748188253864425,4.0690859225283775,4.167993182234922,3.700143891024271,11.073843744865531,1.243929308344006,0.0,4.087122696758756,0.0,0.8574940840432843,0.0,5.427720918357305,3.435539947380262,0.0,4.30946684010419,0.0,0.2692400473448721,2.653909880210405,0.0,34.49521302481119,0.0,1.6421830543899838,0.0,3.300540482469005,1.4293221086314734,1.6421830543899838,0.0,0.0,3.475387655599414,0.0,6.75031625240257,0.0,3.542077773501127,5.573913329755702,6.855225147042698,0.0,1.2446805828628984,0.2652165913873622,7.266332209072667,5.249372960916479,1.157653410035719,4.605832940668469,2.0924352426581594,0.0,5.340514712932951,0.0,4.245889756003303,0.4826270771640152,4.410202904702332,5.891615774068344,4.701014758425525,9.350745447658241,0.0,1.054162323933419,8.310421990753062,4.297291557733728,11.757545065933577,0.0,4.882239754637293,3.891609488655626,0.0,0.0,0.0,6.483935257353245,0.0,3.290472212255424,0.0,7.740561638398015
54_61,0.0417881249999999,2.2313791009166866,0.0,0.0,-0.6,2.1111886664015205,0.0,3.921772457037448,0.0,4.992711747917377,4.503509555707866,0.0,4.3043914689265925,2.321326218759409,0.0,4.121651463863207,0.0,1.859594398849491,0.0,0.0,0.0,0.7226900128408582,1.752997207037808,2.161888102226566,4.431993651490535,0.2424183301052263,0.0,2.1485127222757288,0.3768519419988696,0.0,2.309853172676411,4.327917768637553,2.045484322867265,0.0,2.2253580591933213,3.802840492387052,3.4856763259182904,0.0,4.028749769101303,0.3768519419988696,0.0,2.1855374175160964,0.0,4.7701193938297095,0.0,1.793038760291802,0.0,0.7281511464391519,1.2741982358445916,1.2741982358445916,2.221722809677392,7.0756118000661745,2.2093756069209585,0.0,0.5168361774749041,3.064095307914617,1.801725054739792,0.0,0.0,0.0,2.1042216631006716,0.0,0.3575068484920361,0.0,0.0,0.0,6.388639456759506,0.0,2.320242309709877,2.0116907064594005,0.0,1.7348011366067566,18.664911023507855,0.0,3.016160095512983,1.0984429786653878,6.100911185418582,1.9889129766944045,0.0,2.088856627504968,0.0,2.2255708825357043,0.0,0.0,0.0,0.0,0.0,0.498671942563552,2.9194140964576096,0.0,1.6511632769323497,2.5632397253405967,0.0,2.377979290599563,2.3121914909217045,0.0,3.985037694274822,0.3668361774749041,0.4205271301376488,1.0614196912735157
51_52,2.000453776102136,4.191038970718303,6.038693224531361,5.352890825639973,3.8975050147708914,0.0,2.8362958739968023,3.5516048117027834,1.45536843562629,0.0,2.1992028257803646,0.983902260513842,3.4330375203721415,2.815953748257669,1.9107902182430572,5.04090539234136,3.5177046418577618,1.771461873649875,2.889218762230233,3.6766453039485,6.595677329854253,6.269278558438743,2.090862764816814,1.840496708903118,0.0,1.4394693145993684,3.1840862457085723,5.527811744574358,5.176624145205465,3.220435328598278,1.6429977322622802,0.0,0.0,3.507735439183957,6.319860767089665,5.798390542567004,3.400608522704557,5.098688117907285,1.401861616924771,8.57884233924461,0.0,3.776359674543151,6.113821214918547,2.147257029017472,4.283318533898234,0.0,2.746159278126657,0.0,4.432020384323753,1.2898183176413605,4.4699081068468836,3.840376020902304,2.5640478007655263,1.7874390773424291,1.4763698951770772,3.639178014003256,3.0602237674366606,0.976522993559988,0.0,4.901045837341901,3.6497141937617776,0.0,4.344907063501771,2.197604995224244,0.0,0.9691990711082884,4.081338863591694,1.9395947246341436,1.9840857236814136,5.623652351055227,0.4354403854830375,1.6433617074696596,2.9206541515188307,1.6822001816201535,0.0,2.146338848083992,3.806374285152005,5.647665640202774,0.0,2.7447195415412424,20.52342480923003,1.692196592739619,3.42260360088694,4.579542176787845,0.0,0.0,2.6084492679928144,3.98912873481397,4.484349709886785,0.0,3.28549864046191,-0.5016188720411544,3.0839022605138418,0.0,0.0,0.0,5.217133769451456,0.0,0.0,2.8604590197923003
56_65,0.9271728362983689,0.9919988274706412,1.3378903743704527,1.2184253158207166,1.8996319088381273,1.216013414744816,0.0,0.1721026550633621,0.0,0.9359140225217883,0.0,0.0,0.0787276154366161,0.0,0.0,1.976519882548212,0.1252863186508806,2.025423591615854,3.0123331886616125,0.0,0.8123752417216565,0.0,0.0,0.0,0.0,0.0,1.2353179818966606,0.0,0.0,0.6511823582394574,0.0,-0.6085273355615168,1.3917984905526617,0.4603085791326424,0.0,-0.3357351609618513,0.0,0.9144676211660355,0.3276822042467407,1.3776325600208732,1.103016194431511,-0.5970220833768017,-0.0563897054991857,0.0,0.0,9.289352272313632,0.2270433496537416,0.0,1.7836154494627268,1.4815164408433998,0.0,0.3512728520883542,-0.3509270583646824,0.0,0.2401950878602574,0.0,0.0,0.0280145692354778,1.534280666886113,1.106993532088615,0.9990501844013944,0.0,0.0,0.4672939088892294,0.0,0.0,-0.3975847746361281,0.0029779166231982,0.0,0.0,0.2340697913474996,1.079478561060931,-0.4793419713168474,1.1155038757951916,1.0638191533070285,0.0,0.0,0.0702079042635785,0.0,0.0,1.4767086406770882,-0.1146755446018266,0.0,0.0,0.0,0.3404467153444261,0.0,1.308993589101721,0.0,0.8248056203715826,2.172814409630954,0.0,0.852426232760596,0.0,0.277481215483164,1.6189322501124805,0.0,0.0,0.0752506386285287,0.0
52_55,1.4239025790452045,0.0,1.3464360272043658,11.840894012228476,0.0,1.6483742012214049,0.0,0.0,1.4974094613156117,1.7071028760274487,0.0,0.0,1.7354735710501257,2.8908597378522254,0.0,0.0,1.0046180593678105,1.0759015341382274,0.0,3.0454796767660577,1.6704879252143137,0.9918586895138998,0.2815749190735271,-0.6,0.0,0.0387687720005485,2.6803412706549725,0.0,0.0,3.6882417638973872,0.911739289461374,3.0641484225548368,2.639191925295433,0.0,0.0,1.8058195183831969,0.0,0.0,1.0472072726321908,3.7531043920410556,0.0,4.560427354584003,1.7386056239484249,0.0,0.911739289461374,2.619039981100038,3.857638764753627,0.9495221194744992,0.0,1.5349239615586623,0.0,0.0,2.784201891723915,0.83516753667158,0.0,0.0,0.9255707879234044,1.6848514621715975,1.875566081768812,2.481030737707763,2.411739289461374,1.7415212520168797,4.606242233941956,0.7056387841614332,0.9675057574370056,1.641580334421566,0.0,0.0,3.043118604860074,0.0,1.492868952359479,0.0,1.5835658571727274,0.0,1.9825499929797088,0.939947880274073,0.0,2.9985571746994726,0.0,1.367193136715834,0.0,3.3558555944749195,3.0214156319120704,2.803655350441525,0.0,0.0,3.490797178000156,0.0,3.250265780576002,3.275334242417337,0.2731850552732177,1.1527496278849123,1.837263877381085,2.2520093067360447,0.0,2.4098812843319624,1.718990696128086,3.818210956686978,0.0,1.6493570766584922
42_40,0.4772986436424302,1.2745404732126664,0.6156900930453787,0.0,2.4155016593976892,1.7971798069320268,2.651199783983196,0.0,0.0,0.8310138082927544,0.0,1.0720137537436891,3.000089890469915,0.0,1.0126713143933992,0.0,1.1154060597762203,0.68616000835542,1.069448894349598,0.0,1.688848618743454,2.2310919250270853,0.8239977977957584,0.0,0.0,0.0,1.77516136293215,0.9433600681742816,3.468698513070506,1.0637825501960083,0.0,1.9325647278729734,0.0,1.7064941497294444,1.8547884814227409,0.0,1.8967052558859008,1.051516110186648,2.2207227038278408,0.0,0.0,0.9001272122115166,1.108414817333948,0.0,1.128570109093985,0.0,0.4701660120364986,0.0,0.0,0.0,0.356004128545005,0.0,0.0,1.1218633654342882,0.0,0.0,0.0,12.233126399719406,0.0,0.0,1.1238348209332194,0.0,0.0,0.8142687938187189,0.0,0.6316275610035756,0.0,0.0,0.9075399172373166,0.0,0.6759062047305587,0.0,1.1070405143278983,0.0,0.0,0.9441445137154786,0.0,2.5527904186781045,1.6312319635341537,1.3695275944274437,2.028570109093985,0.0,0.0,0.8445021953835568,0.0,1.1328121203171815,1.091850943407414,1.3165253951941494,0.9560041285450048,0.0,0.0,0.0,0.0,0.7175263915591964,0.0,0.0,0.0,0.0,0.0,1.1939786482078283
58_66,-0.172075574213502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664720649926188,0.0,0.4326906374370367,1.0253812909788476,0.0,-0.4343018271190374,0.0,-0.025862809516025764,0.0,0.0,-0.5975663297039766,-0.6,0.303360894742633,-0.3155985046875001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4232054122396217,-0.5975479392483392,0.0,0.0,0.0,-0.472711875,0.0,0.0,0.15536548706164366,0.0,0.270752878529402,-0.4035579290238009,-0.4917441966580518,-0.4909261427285156,0.0,0.0,0.0,0.9927163803899512,0.3409012526148342,-0.5580424139876748,0.4168078580582346,0.0,0.0,0.0,-0.4050312445561225,0.0,0.0,-0.472711875,0.0,-0.4511249999999999,0.1724058237472776,0.0,0.323332563180527,0.0,0.0,0.2558449671168681,0.0,-0.4555412554430127,0.0,0.17854092368038413,0.0,0.0,0.0,0.0,0.4361886393622092,0.0,0.0,0.0,0.0,0.0,2.84912851391483,-0.6,0.0,0.0,0.2905843672549808,0.0,0.4295501117548533,0.0,0.0,-0.3077690939141559,0.643521871949342,-0.6,0.0,0.0,0.0,0.2905843672549808,0.0
