,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
19-11-2018,38201,04391,89226,43465,76401,88715,96354,27474,52186,40417,5990,4425,1706,0354,2758,7737,9829,5168,8297,6872,229,318,488,61,57,36,42
20-11-2018,02322,55967,14008,26166,27322,34387,69206,36317,39271,91802,2307,2646,4260,6375,4497,1389,9326,8427,9201,0514,905,358,808,10,80,52,17
21-11-2018,79721,35182,70427,13696,37341,82033,07079,25356,03212,58077,1702,5150,3959,0835,7713,3795,6272,2259,1089,1427,045,657,631,71,29,95,68
22-11-2018,95565,90319,52484,84494,84539,74506,63458,97149,44846,62175,0426,6260,1427,1358,9292,2227,8372,3319,7941,3183,393,135,527,77,51,90,56
23-11-2018,06414,72962,89200,38949,22770,96336,50754,40207,38019,90452,1943,1714,7292,9159,7508,9413,6529,7784,2071,3509,618,608,925,11,02,74,73
24-11-2018,90956,97789,76056,87878,15696,39418,62645,33273,84435,09984,5873,6506,5124,0430,6865,6190,1161,2124,6715,7736,712,983,401,57,72,59,23
25-11-2018,34635,29713,17610,95811,05457,87022,75253,39319,27994,43423,1124,8715,6814,7347,3218,4002,0897,8500,6322,5398,965,530,071,22,81,28,15
26-11-2018,74033,25383,76181,71283,51346,13237,72856,03520,83143,06133,1178,7204,1985,6671,2427,6778,7336,1342,0623,8496,647,355,609,43,75,99,80
27-11-2018,44616,30640,77757,01553,03892,41526,18539,53311,60263,48599,2301,9486,9468,8398,3281,3947,8265,3142,4975,9171,868,339,158,66,57,43,15
28-11-2018,81965,86368,53783,26833,43789,89056,37846,16390,94843,88348,4454,1466,1515,9014,3708,0269,9705,6767,7790,7707,023,063,565,75,76,48,79
29-11-2018,98929,46801,03725,22866,99477,81539,46257,79885,16667,83005,7077,6003,9332,3736,7177,6947,6916,1102,7644,5332,178,016,793,37,58,30,46
30-11-2018,88321,39525,53826,79534,11548,76264,38495,47997,76724,14031,2849,7375,4544,0802,2203,2276,3468,2819,6492,7497,472,346,331,73,15,53,06
01-12-2018,72729,35229,06339,70800,76367,48748,87121,81726,72370,57111,9300,0250,0584,9830,2636,0025,5192,4924,3360,8715,289,388,227,39,87,06,54
02-12-2018,71456,29176,48938,04560,56795,70474,88585,63403,44547,61358,1127,3789,2438,2885,0237,0530,3466,4807,9859,9868,900,111,293,66,71,84,97
03-12-2018,99667,71324,62690,15314,09270,02027,74364,22849,47145,04223,2248,8343,2604,6864,0385,1845,9246,8261,6712,7198,213,654,279,04,06,19,54
04-12-2018,97859,02642,56738,30266,37195,36906,66536,81171,47969,59096,2232,7659,2332,3666,9351,5885,3121,0951,7912,4278,250,715,091,54,62,66,22
05-12-2018,12188,98049,19111,30689,03403,69565,76882,53750,38900,87956,9668,0249,7168,2353,7194,6601,3680,7653,8547,5548,169,412,816,55,86,98,87
06-12-2018,81154,41297,70567,14701,95589,46574,25137,75744,85932,17662,0406,4522,5238,4538,8978,4401,6833,4529,5067,1586,164,994,904,93,84,54,88
07-12-2018,25367,15164,11972,66004,88562,98452,31364,19311,11254,11625,2905,2832,4688,7268,1341,9742,9018,9663,2859,5962,406,281,771,48,09,36,90
08-12-2018,64793,11002,57292,04037,12514,31068,92657,46207,70589,79122,5232,6601,5398,6602,3047,8575,6500,9552,2905,9536,070,109,979,39,50,21,11
09-12-2018,77308,42084,50461,10314,14059,47606,96282,99086,01825,98135,2522,4568,5248,6359,2303,6245,0377,3626,0604,5555,151,427,345,47,49,99,44
10-12-2018,39341,39185,62826,38885,87724,97300,07530,57907,92902,82203,3827,8092,3696,0301,2207,1685,1255,2593,9906,3278,691,078,105,81,66,67,71
11-12-2018,38991,70217,42511,71943,41118,09980,47721,33656,58484,33062,4672,5112,7870,2403,7814,5195,6567,6514,9738,8673,855,607,086,79,36,86,99
12-12-2018,63140,12581,97685,04032,92111,77479,06208,82799,80396,56661,6555,2405,2643,0153,3315,6041,3734,0723,5982,8169,951,310,389,22,91,23,97
13-12-2018,83517,17884,57757,80167,80426,90705,61683,41303,54762,01224,7700,1471,9634,2656,7486,2244,1483,8392,2116,8758,785,792,839,69,68,94,75
14-12-2018,47788,90784,50283,26317,84915,00450,53073,93506,83632,67588,5041,7887,9992,2424,7677,6954,9906,9474,5173,9841,720,521,185,02,83,07,54
15-12-2018,22750,77177,83135,42496,05354,71980,42609,86089,47159,11552,9448,5778,5874,6283,7420,0214,0200,9230,2931,3741,728,712,281,71,55,06,03
16-12-2018,60310,86200,21195,01553,84898,88617,99996,84665,01893,19352,0021,3070,6658,4045,0890,3891,1071,4379,2475,9118,461,430,513,13,92,63,52
17-12-2018,46365,59917,16680,55318,30230,24324,17794,64353,25382,59178,9320,1706,4619,0567,4866,2328,1998,4059,7079,9881,721,147,132,37,60,32,20
18-12-2018,84415,40675,10232,12365,28201,81242,31878,66321,69183,49209,3164,9310,5574,3257,8177,0092,7116,3076,2652,6349,939,694,183,28,57,77,36
19-12-2018,29775,09989,10845,48007,04959,17171,79473,66080,81224,86349,0628,7950,2826,1009,4745,3342,0835,4358,1309,1420,480,956,203,99,05,35,77
20-12-2018,41302,47422,26270,96796,55635,98159,14745,72681,24705,91107,3725,0654,0685,0444,0726,0804,8807,8196,7351,9516,388,208,566,48,42,70,21
21-12-2018,95367,63553,50088,95982,85876,10536,39412,21099,87155,73147,9249,4860,6318,1341,5884,2190,3404,2942,6073,6163,062,911,509,97,70,86,66
22-12-2018,54691,17119,78543,14986,05834,70270,45686,60949,92208,03756,0808,7381,0371,0211,1890,5792,3023,1789,8718,3348,909,044,648,42,52,69,65
23-12-2018,47793,96106,03840,71903,65422,59669,19627,31691,77344,34459,2103,0888,0341,8898,2469,2410,8248,5338,4818,0122,714,693,772,52,00,50,91
24-12-2018,50522,93807,60664,34149,41188,75652,28599,11322,09251,24266,4305,8696,9716,0634,1748,1020,6324,4081,6361,9632,263,343,076,30,37,03,82
25-12-2018,09956,75272,22342,55313,89674,16416,05087,49099,03413,06496,3387,9141,2641,4018,4973,5171,4288,0481,8091,7371,290,818,604,63,01,67,54
26-12-2018,73330,59327,68202,76003,17122,61486,91537,43872,24520,45662,4077,7149,0129,7792,3822,1736,9356,1879,3479,2096,094,271,053,30,07,37,58
27-12-2018,24529,55726,87621,81834,06183,28342,85432,86248,00827,66193,3579,1214,1590,5315,3715,5449,3783,0358,5719,3156,205,927,937,46,86,68,33
28-12-2018,66241,74515,99143,99418,11047,39015,41600,77344,11222,39764,9340,3751,5386,8133,2711,3686,8055,7944,2307,6020,492,677,628,84,74,68,00
29-12-2018,56675,05257,35424,53107,04517,58321,24231,86915,49661,51449,8754,7939,1335,6356,6930,6925,4555,6559,0722,0856,713,567,132,91,77,80,09
30-12-2018,65753,84468,51729,50384,32861,23532,72685,55796,49853,96122,0774,2246,6463,4160,7014,3113,6950,0015,1630,7724,079,101,888,05,31,73,83
31-12-2018,45276,47653,82065,29276,25396,81597,83276,57151,14066,09935,7280,7973,8102,1845,4819,6414,6791,4206,8832,2861,470,430,439,98,59,29,32
01-01-2019,93689,75237,18849,42912,47772,35331,42797,65541,25983,49007,6362,8342,9093,2476,4654,4166,8468,5956,2604,6676,585,644,388,74,33,0,40
02-01-2019,56508,45238,46349,45470,73256,21504,33565,11360,95475,34876,4495,2277,2579,193,3597,8096,9602,9523,7715,9239,51,963,455,30,77,43,79
03-01-2019,60824,55041,15193,66122,84924,7715,80113,77073,98972,54689,9840,3138,3862,2883,3852,9294,8031,4568,8358,9906,266,328,646,75,78,28,89
04-01-2019,3677,91142,40042,45926,80118,31106,16375,78701,98326,45736,4172,7625,4380,5932,7969,1947,7928,710,2809,9726,656,257,949,65,18,68,0
05-01-2019,90522,22061,61168,6758,9193,82824,27809,6855,62715,98624,7555,2210,818,9573,7058,2668,6343,4426,648,3166,138,453,183,76,73,13,38
06-01-2019,64391,54349,89853,30879,57948,74768,90532,5289,97327,51479,7247,8472,1340,5064,3879,4714,4113,5093,9047,2256,276,261,803,40,54,18,15
07-01-2019,32489,47814,67778,64994,2466,38257,71930,82009,29927,16437,8000,8419,5851,1130,8104,4423,3458,2644,1068,3756,844,880,84,82,30,62,63
08-01-2019,62880,3899,20314,33936,30417,71143,52738,8185,55338,19928,5628,4510,5156,8572,4602,9676,5223,2731,6212,247,172,255,260,35,11,0,95
09-01-2019,89379,51461,99686,57459,54347,67205,68378,48995,14882,39676,860,6213,1380,6509,416,8790,3317,2793,7010,9716,477,939,370,6,60,59,97
10-01-2019,30559,78713,84288,17464,98540,14459,45907,55104,62771,61680,2703,7978,534,7176,9801,8835,2008,9821,1349,687,200,788,53,56,77,55,15
11-01-2019,9841,60943,54465,28979,35699,73085,33649,76314,38261,93375,5343,6399,6934,9641,6640,6035,1480,3779,7799,5116,0,856,78,3,38,17,19
12-01-2019,73224,81011,744,72834,2166,10100,33548,60310,45766,35173,6474,8693,8054,2631,9473,8700,4148,2567,33,4452,304,673,215,64,2,99,48
13-01-2019,38231,1714,95126,77765,65609,69311,54686,80998,84730,81787,7438,9859,9194,2950,349,849,1015,3146,4148,8354,332,381,698,72,62,12,3
14-01-2019,51545,42892,43403,47804,34204,39267,75895,58649,31151,3816,9799,3002,2439,9543,3525,656,2473,2559,2720,6574,684,721,993,34,81,28,64
15-01-2019,84265,28287,12310,52786,68290,96816,97614,71022,17949,68079,9131,7490,2509,3665,5098,8443,2719,4778,4350,1221,709,861,152,22,28,3,29
16-01-2019,22086,79312,90049,54062,72537,10294,62485,99403,26631,73265,3694,2907,6472,2670,1937,7578,4575,5576,4557,3331,257,886,750,28,97,31,95
17-01-2019,68116,26827,31264,81596,87555,9629,37437,65284,39787,92233,839,8472,2914,6721,9662,8264,1248,3012,2856,7858,840,713,571,74,65,15,52
18-01-2019,4289,5242,95071,64877,34673,64527,40670,50986,5702,31069,9439,223,1726,4099,6377,2525,1347,3788,2872,1798,548,660,831,29,18,94,15
19-01-2019,71892,967,76205,84573,46326,54946,97053,56226,70714,61043,6340,3945,48,2066,1714,8635,31,8551,4438,4918,163,257,436,34,64,70,85
20-01-2019,65208,55223,7010,34387,20869,1911,46035,14971,85545,83460,7858,6779,2452,3511,574,6987,889,1676,3179,8622,547,914,882,72,54,95,92
21-01-2019,962,78214,99820,58589,51343,56552,49873,87235,72705,12629,5985,4297,6393,2227,453,9542,1617,4281,6858,9617,838,293,287,69,39,97,78
22-01-2019,40829,68434,88818,57861,95658,31448,52838,39008,11262,25792,3964,6652,7374,5203,8316,2547,7973,6425,4080,584,275,758,205,79,68,97,88
23-01-2019,17810,36003,24319,95465,59880,79925,99726,26965,40159,7814,9152,7336,9103,6144,4323,8819,7127,4898,6770,7637,550,440,991,40,11,22,36
24-01-2019,69336,65487,33847,82018,80846,95080,9696,557,73663,56925,5326,5749,1579,9919,2777,5262,5416,712,2006,3111,840,634,596,94,33,32,24
25-01-2019,95565,31663,92374,72652,53401,82456,76801,72109,64210,15377,2696,661,6027,1009,5880,194,2866,3941,1653,7485,197,722,373,90,97,23,99
26-01-2019,62279,66943,22093,92817,34335,46698,10329,63784,57742,61250,66,5021,7259,59,7184,4591,2398,8646,186,8611,425,443,869,65,33,36,39
27-01-2019,58549,62533,19805,12534,77669,49958,79536,13923,65572,40789,4484,3809,8415,2507,4257,9708,6267,7778,3729,24,305,984,522,81,10,3,6
28-01-2019,85889,19391,30897,80995,75267,67149,607,41294,84369,54633,5644,5102,3056,8594,5045,6291,3579,7503,8388,1209,244,186,835,59,83,34,19
29-01-2019,56579,42767,29375,21047,75651,35133,52385,59171,20409,73525,6438,9819,8847,2539,2291,7850,3669,2741,7052,1108,664,515,572,37,59,1,68
30-01-2019,10344,85093,53161,9000,40903,73015,13519,97023,82910,53140,7504,9807,8375,4615,2519,4460,394,2246,9210,7259,20,924,658,8,95,91,10
31-01-2019,77622,66550,11867,39080,3943,51317,77652,91711,9641,18425,1952,2843,4724,8141,6783,9254,7418,8179,224,4720,381,811,374,16,99,73,43
01-02-2019,8988,22416,43606,56865,74843,12527,5270,36939,44042,11960,9217,8222,3349,3524,7923,5235,7728,2059,3936,8850,644,850,157,52,38,8,57
02-02-2019,93843,40130,6541,59475,7591,78144,4746,88999,70819,40731,8083,3121,1022,2354,9246,3444,6151,1071,2031,5949,390,842,396,44,4,78,88
03-02-2019,61090,49169,33210,84333,69283,70489,45784,77730,41027,5042,9954,235,4515,9234,362,7824,4807,5643,7114,7929,157,797,201,28,76,55,8
04-02-2019,61090,49169,33210,84333,69283,70489,45784,77730,41027,5042,9954,235,4515,9234,362,7824,4807,5643,7114,7929,157,797,201,28,76,55,8
05-02-2019,61090,49169,33210,84333,69283,70489,45784,77730,41027,5042,9954,235,4515,9234,362,7824,4807,5643,7114,7929,157,797,201,28,76,55,8
06-02-2019,61090,49169,33210,84333,69283,70489,45784,77730,41027,5042,9954,235,4515,9234,362,7824,4807,5643,7114,7929,157,797,201,28,76,55,8
07-02-2019,61090,49169,33210,84333,69283,70489,45784,77730,41027,5042,9954,235,4515,9234,362,7824,4807,5643,7114,7929,157,797,201,28,76,55,8
08-02-2019,32999,32196,9121,88937,3122,20239,8897,63291,35519,90363,3279,328,196,6040,3711,6774,8125,724,446,1121,984,804,272,15,11,12,94
09-02-2019,65826,11452,62655,92414,63079,60465,57932,41915,30829,83970,617,5272,1859,7344,9007,2723,9513,5774,1509,7501,952,353,424,42,2,46,19
10-02-2019,83208,72164,69427,32385,97756,48013,18542,44887,4845,80171,4833,4667,2740,1345,1955,7929,8996,4801,8665,3825,989,787,592,62,44,89,74
11-02-2019,27459,78249,51933,57101,2698,26004,7203,39148,54541,89751,7620,39,5115,2725,1404,446,1205,86,5944,8117,333,480,641,79,36,21,93
12-02-2019,11333,32253,96164,93077,39190,54426,3846,67682,41730,7962,4866,4169,4717,3868,2004,8702,2945,6120,7938,3317,647,127,83,48,44,52,43
13-02-2019,67091,7897,87967,60602,15619,84309,54261,80289,1115,34728,3941,8480,2160,4635,2786,5003,5136,6893,2177,9925,876,959,773,15,83,9,36
14-02-2019,28929,12758,13138,5847,59431,76798,62214,11510,84446,58671,9374,6665,4420,4353,8562,6734,9287,5749,3439,4287,878,973,592,40,92,41,78
15-02-2019,65132,27219,20750,71078,31697,48439,9036,11799,98809,4611,1896,7354,5909,4400,8028,5553,7838,4068,831,8115,609,959,670,24,80,68,2
16-02-2019,57480,40751,27130,69477,75916,39968,22680,35750,67352,15052,5258,129,749,873,3925,2275,6617,8019,5827,5047,126,308,876,0,49,12,55
17-02-2019,54486,25897,47832,40270,89547,75659,54702,32099,11239,6965,8106,6386,2620,5912,6967,571,8197,8789,8211,3152,304,513,949,87,66,36,35
18-02-2019,15297,69209,75215,83161,92221,41635,61327,66409,53102,70126,8090,5364,9070,8033,5359,1293,3130,2899,5486,63,455,989,243,89,21,62,42
19-02-2019,86105,55689,26503,59506,44271,18652,52665,19468,29116,70851,4952,3784,1334,7882,6250,9384,9488,7587,4931,9661,895,491,961,75,68,55,49
20-02-2019,28716,60764,19329,25694,28164,95332,4087,57541,61255,4098,2787,2150,9355,1033,4548,8688,833,2444,4343,5394,666,471,422,73,41,51,43
21-02-2019,89968,75866,57039,79159,15682,14015,43743,57048,89993,40390,7907,4602,3921,6172,8234,4764,4536,9694,6843,3812,974,962,317,65,40,33,76
22-02-2019,34463,53655,12230,26939,82980,72735,58528,56062,51814,75106,3784,9200,1013,6658,798,6373,1295,7962,8436,2527,205,320,69,83,44,86,90
23-02-2019,63311,86911,16219,95693,74853,11851,99198,7286,9330,42706,3296,2908,5604,9414,9720,7463,959,2825,7313,4473,407,781,40,96,39,53,34
24-02-2019,55232,39106,42934,66588,19492,12679,40369,16164,64181,42536,5253,7221,3569,9949,9218,9615,6384,9774,667,9256,53,151,27,4,34,7,17
25-02-2019,37168,14350,38457,72236,36329,73301,49104,39953,71619,49805,3513,8867,686,4710,7879,4150,8523,5791,3708,9545,722,699,314,38,65,56,81
26-02-2019,17948,56052,7854,72825,47349,79435,9013,1083,12595,12432,2292,6414,880,9850,6065,869,2696,5726,4301,1244,354,960,277,16,14,73,89
27-02-2019,68716,21136,57803,50551,18492,11613,87193,15708,17500,8663,4254,9079,7726,9558,8099,1437,6832,3899,3492,5039,160,626,587,28,57,64,94
28-02-2019,61214,96589,5378,39524,44679,92716,35241,4331,79251,13630,3161,5188,9617,660,9011,5200,5087,6128,2427,2478,169,178,951,8,17,26,63
01-03-2019,71310,6742,81282,12686,90776,11668,62008,61053,94032,13083,6324,6901,4272,373,3731,9847,5459,8464,3197,691,531,492,827,32,11,67,76
02-03-2019,62505,20787,11294,83741,62547,12413,25832,44103,16115,49454,5557,8190,9584,213,6248,2940,3251,5435,2932,3665,386,147,621,87,10,52,88
03-03-2019,58310,10624,71432,78957,64222,10693,68066,57965,58045,63636,614,4310,1170,7093,5582,33,2199,7874,9282,8442,834,82,688,12,89,92,6
04-03-2019,11155,45805,35883,89943,22693,98695,74276,13292,15513,75857,6865,9458,9011,9882,1490,2330,7550,5589,4495,8524,699,510,99,33,4,38,60
05-03-2019,2286,76770,6825,25300,25542,92585,97675,58694,96914,89230,9993,312,5612,2702,4057,1972,159,890,1525,9043,5,909,407,15,39,93,32
06-03-2019,87807,58780,6321,91122,61013,46507,88781,76413,11509,24699,1703,3912,178,5627,7971,9608,9597,4940,6355,5636,120,537,783,83,16,84,56
07-03-2019,72672,51065,94630,19339,9464,27815,51563,52691,76989,64292,6579,9030,9424,8380,2007,1026,9874,1133,5720,3016,956,781,69,36,30,85,70
08-03-2019,9702,74663,30758,57111,60274,12435,44317,58246,36118,28338,9640,4549,9223,4480,1521,3033,9929,5481,7287,9320,738,184,948,2,1,42,93
09-03-2019,6000,97910,20605,34406,93826,62308,26644,26006,29214,96463,3468,7939,9524,3551,9799,7882,7085,2957,8675,7737,513,422,652,37,94,70,28
10-03-2019,74359,76419,44101,91993,86814,15579,14774,67025,52695,36608,4737,9897,6018,2310,33,4518,4652,9490,2301,141,439,273,579,68,87,94,97
11-03-2019,97291,82885,56554,2384,95838,16643,7036,29828,68,11762,4223,2815,9363,3426,9911,6428,2526,658,4305,3813,79,794,125,72,23,5,38
12-03-2019,37899,94673,64543,91378,34907,75294,1032,77216,76283,91196,9474,8242,7943,3986,7951,4917,7412,4149,687,6865,978,800,652,3,8,63,34
13-03-2019,55062,46864,99515,58103,40021,41259,37709,33470,87782,19037,2645,6014,9872,1777,612,4161,4925,3552,746,3784,881,272,227,40,49,59,44
14-03-2019,75608,15029,84241,45914,51731,82275,32352,85935,23665,55488,1313,778,1841,318,6478,3634,2034,2154,9843,1243,758,605,254,73,28,31,82
15-03-2019,40771,89617,58685,59275,32664,20626,11516,77826,62332,52831,8898,4520,8452,7809,2505,8217,1282,789,6687,1288,329,366,771,49,42,99,63
16-03-2019,26682,37391,69238,41265,99604,33178,15445,2256,77604,72373,3377,3461,4799,2904,3625,2394,6750,3738,5696,3484,190,477,144,39,60,6,4
17-03-2019,96651,20755,2892,71843,24309,39768,86989,50331,48962,87734,5261,5531,6377,5755,4144,7521,9652,1928,870,8821,257,627,613,51,94,70,75
18-03-2019,41334,84633,72738,524,18777,3831,84391,89767,83971,46277,6034,2275,216,2821,9548,1032,2492,4431,5680,1932,794,392,508,31,62,72,67
19-03-2019,39473,88431,31815,38423,64458,89906,3787,27881,94072,71547,5191,5100,9125,817,8470,8897,3780,7097,7989,1463,754,571,139,32,39,5,47
20-03-2019,20824,1740,8150,76859,77257,99634,9195,73097,84124,65293,4451,8567,2454,8293,2186,2703,3827,8519,2139,401,395,841,56,49,27,85,83
21-03-2019,43185,7303,49568,58668,65443,97464,24322,50874,67075,16672,3720,5302,5434,1653,8898,3490,3670,704,7019,9615,748,477,9,22,18,71,78
22-03-2019,97477,21663,27194,19868,70166,61275,26300,21701,93438,7936,8469,9289,7125,8554,3250,7049,7693,4846,696,2840,295,868,562,23,27,73,63
23-03-2019,40005,35790,21352,90568,61698,49234,44747,45726,24442,62083,77,9626,2022,1450,8585,8330,1643,8467,7111,7308,730,414,899,44,46,15,2
24-03-2019,86472,34087,23223,46303,27124,1743,5559,18022,77787,34939,7350,6083,3925,5316,8954,9,4021,9354,7213,7050,9,961,792,13,89,64,22
25-03-2019,25019,8621,82233,79658,14697,2085,93733,22191,60065,92953,6311,1591,8863,220,3517,751,1717,1323,9063,7651,347,498,704,99,86,40,76
26-03-2019,94499,86607,96465,17648,57899,71843,30838,97765,16716,74046,9587,8069,6591,1882,1728,9984,9535,5352,2240,8010,523,309,233,43,92,95,61
27-03-2019,63559,66068,83290,77658,61664,91889,25868,61410,85080,2144,7383,8484,894,5532,2052,1215,5244,1416,3515,3159,971,852,120,36,27,47,77
28-03-2019,27974,44982,52996,92837,33414,96568,64450,85442,27235,40406,8914,8924,9720,3802,1435,9043,9064,4100,8500,8610,156,480,422,11,85,18,62
29-03-2019,21642,2102,55220,64771,28216,69762,95624,23630,27277,84984,5257,3349,4682,7428,4212,8946,1731,3399,3339,7363,503,905,100,1,26,92,81
30-03-2019,64361,22750,51712,65124,74983,3844,62856,44159,51120,3596,4644,8143,8172,3888,4399,5318,8360,5482,4055,8232,495,353,663,36,42,9,99
31-03-2019,13748,11388,4575,54906,20090,52505,41534,53064,37537,61849,1497,3003,3036,6273,8843,4328,1021,2761,2120,9535,732,254,697,97,15,49,10
01-04-2019,83620,53556,61108,4197,64435,15828,94161,36243,20885,38847,5349,2960,1510,596,816,9952,4627,9183,8122,6682,666,726,462,91,15,55,56
02-04-2019,71393,78853,36231,8575,76318,83675,99917,96070,67000,63508,5496,2101,2392,7413,6387,2590,3365,8788,3965,6703,985,750,986,8,56,88,14
03-04-2019,18934,67542,14448,31237,25196,95292,29247,11416,52018,88798,1973,8931,4634,3975,9852,7886,1781,3377,6076,7706,252,788,680,30,29,64,77
04-04-2019,70084,17245,16096,15869,61663,56702,15845,91722,32683,62286,7898,7209,6976,8146,7127,6706,7476,9531,9500,2091,760,626,664,41,97,79,85
05-04-2019,91458,40827,42429,96005,7495,72538,2468,71294,66383,16890,2666,8722,1005,5712,2923,3042,6648,4637,458,7714,880,173,263,27,75,24,91
06-04-2019,61188,86876,94020,70401,8441,18807,15190,15158,77086,42796,2772,1736,5092,1291,4689,3752,1374,7640,8034,2284,824,260,743,66,7,34,67
07-04-2019,98764,79647,7702,41768,86610,90956,26671,12352,94528,89846,8245,4160,2442,4651,6014,1804,1759,397,5249,2272,234,31,712,40,0,66,1
08-04-2019,37110,61647,64872,28185,85265,98046,2097,74307,17403,66045,7617,5402,5377,1693,9499,4650,5471,6154,3210,1800,676,668,264,40,7,52,95
09-04-2019,31765,91814,66098,72718,6349,44736,97712,44742,8418,27865,6205,3822,8665,7672,3907,1721,3823,2826,2952,2339,63,881,136,91,29,60,50
10-04-2019,5284,67799,64046,29695,18232,75049,91776,64971,3866,60126,682,8612,9802,9965,2066,4932,3722,9806,2243,1470,413,594,104,52,99,13,36
11-04-2019,52236,50212,47393,84348,85287,30320,18820,35073,65762,63272,6113,8501,2218,6085,307,5105,9710,8808,5659,1934,602,745,424,12,1,4,56
12-04-2019,84308,39159,78310,64382,50889,88095,53787,22594,12468,82918,6370,7531,4911,207,2188,8952,4351,7119,3980,4038,271,217,96,73,21,5,0
13-04-2019,46181,26851,76785,61246,25059,68851,20694,53494,85151,68213,3916,2957,7662,2723,3718,258,5611,9986,8020,3270,341,464,638,82,47,45,52
14-04-2019,2867,96545,34696,58670,96019,92635,81797,49057,81140,60633,1182,483,1342,5126,3926,2100,2630,4813,3914,5214,777,921,454,71,54,39,84
15-04-2019,57843,22538,43677,44518,92606,95454,4321,38557,81673,14622,1964,6213,1314,347,2403,7902,4291,5065,4652,7607,272,902,839,24,80,16,81
16-04-2019,11022,57948,46157,24971,80139,79032,32128,49997,17861,59295,2946,4543,1361,3392,6781,4192,3032,3188,222,5636,202,490,952,45,25,22,82
17-04-2019,61619,32144,77208,66550,91501,98288,21382,556,70906,63432,3248,7212,9273,2562,79,1867,5023,4816,8877,2133,498,524,579,51,16,49,94
18-04-2019,54399,81519,40486,17385,43886,92649,78506,89920,91700,35527,8096,7461,106,7351,4311,1637,9863,1686,1203,9123,653,13,296,90,92,12,36
19-04-2019,73588,12423,59104,75395,6920,28874,45615,73500,33535,97702,4968,251,4251,4942,6970,407,8114,8784,3329,3069,992,530,558,8,24,93,55
20-04-2019,78697,10401,83798,63698,47363,87370,21831,30084,25454,37997,8330,3147,2983,2,5818,7125,452,6360,7132,5017,836,131,405,96,66,62,19
21-04-2019,66103,27160,68035,90974,16919,77595,1238,94869,69102,48123,1026,6369,5971,3693,5829,982,9569,9232,4006,339,741,391,1,66,64,30,89
22-04-2019,78819,34809,11946,98103,74969,49134,50035,37112,9272,64420,4978,9239,1574,5773,9962,1437,4658,4769,5078,8509,141,518,573,59,19,0,78
23-04-2019,95541,87314,18334,90509,94798,45157,24947,40973,44038,65617,5052,7310,3589,4889,6271,8748,7539,9828,6164,9662,202,27,809,58,96,48,87
24-04-2019,61229,64831,868,27719,81881,44597,54140,81218,8382,42866,1063,1175,196,33,6405,2895,6775,923,8548,5912,458,651,973,30,90,52,1
25-04-2019,44188,53421,45059,72084,17891,27596,77786,1952,14936,22174,4546,7497,9332,7944,5018,6027,9634,6974,2142,264,879,328,792,76,62,84,80
26-04-2019,41702,18023,75633,30292,95500,49684,22534,96913,53619,69423,4175,8788,3148,800,9727,788,8233,9301,7988,1557,941,607,895,92,51,16,12
27-04-2019,66029,94740,58069,60284,42218,15942,90074,98098,66531,88293,4080,7365,4190,9778,3003,742,9202,3960,5242,3212,145,115,398,28,86,26,64
28-04-2019,61019,8071,36956,43274,19721,97735,34803,78074,14794,62461,372,7354,8450,3651,699,1868,8281,7436,7935,2913,118,668,234,80,83,70,2
29-04-2019,417,99059,74233,19149,8786,90237,16254,23175,12778,9000,5418,878,7429,8988,8242,1528,9730,4112,8010,6689,306,45,985,24,99,68,97
30-04-2019,93006,63474,19372,89850,15658,14514,98848,56985,95486,62682,2956,7500,1273,1345,39,6205,3869,6027,5590,4003,130,456,698,41,21,38,79
01-05-2019,34641,56596,81188,95672,13683,44507,57885,99753,72552,85043,3194,7018,6023,5632,6205,2598,5631,4785,1752,7941,520,759,474,93,81,63,54
02-05-2019,94761,27423,52089,33063,17346,33139,16736,1430,67481,8122,5494,3915,3852,4205,2306,1966,7662,1363,6045,4200,440,74,418,33,49,90,60
03-05-2019,12050,74867,11837,29582,86838,7814,50022,43043,97176,56876,2363,9089,1324,5319,4885,4422,7144,583,174,5654,489,261,200,30,96,70,75
04-05-2019,63371,61735,93293,66824,42445,51148,51248,25354,54780,3866,2121,3319,6444,2296,931,6277,9100,6159,9167,1289,343,823,593,25,23,3,60
05-05-2019,21900,21590,77814,7880,88885,37102,31251,21211,81019,14854,6022,1370,4771,6583,2919,2093,8435,3754,6953,7963,333,374,515,41,17,16,32
06-05-2019,44642,33245,51731,58918,86510,23429,14671,70334,19863,2608,3563,7723,1189,1960,4567,2004,5356,1643,7779,4850,639,181,737,33,79,93,26
07-05-2019,74530,97659,92731,72498,69084,7844,77881,96914,51017,3073,9896,5550,1053,6390,9959,5205,9723,2701,9917,792,838,832,555,49,43,2,66
08-05-2019,36128,26736,96881,19959,10025,44711,57752,37464,74913,61368,6273,4768,6316,8559,1138,5803,4730,2198,4767,1587,810,681,188,90,89,15,24
09-05-2019,73052,42339,83545,50151,60411,94981,69304,74427,61572,91268,9868,8439,2376,4968,1143,2644,5479,7574,7254,3959,1,147,793,0,35,66,67
